127.0.0.1 - - [30/Aug/2024:10:09:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:09:47 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 200 2099
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:09:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:15 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 200 2381
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:16 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:41 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:42 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:42 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:42 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:42 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:42 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:43 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:43 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:43 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:43 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:43 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:44 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:44 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:44 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:44 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:44 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:44 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2024:10:11:45 +0900] "GET /FrontProject/html/index.html HTTP/1.1" 304 -
